",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"1168,Martin Hongla,cm CMR,LT,Hellas Verona,it Serie A,25-022,1998,9,6,523,5.8,0,0,0,0,0,0,4,0,0.2,0.2,0.3,05,6,24,10,000,000,000,000,000,003,005,008,003,008,Partidas,b85bf253"
"1169,Martin Hongla,cm CMR,LTZG,Valladolid,es La Liga,25-022,1998,7,6,531,5.9,0,0,0,0,0,0,5,1,0.0,0.0,0.0,00,1,13,3,000,000,000,000,000,000,000,000,000,000,Partidas,b85bf253"
"1170,Franck Honorat,fr FRA,ATLT,Brest,fr Ligue 1,26-239,1996,26,24,2.081,23.1,5,5,10,5,0,0,1,0,3.9,3.9,7.4,113,85,54,204,022,022,043,022,043,017,032,049,017,049,Partidas,db7849ca"
"1171,Jannes Horn,de GER,ZGAT,Bochum,de Bundesliga,26-060,1997,2,1,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,2b83fa49"
"1172,Cédric Hountondji,bj BEN,ZG,Angers,fr Ligue 1,29-078,1994,29,28,2.542,28.2,0,0,0,0,0,0,5,0,0.9,0.9,0.3,12,5,73,1,000,000,000,000,000,003,001,004,003,004,Partidas,00891164"
"1173,Ilyes Housni,fr FRA,AT,Paris S-G,fr Ligue 1,17-328,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,910e3cad"
"1174,Lukáš Hrádecký,fi FIN,G,Leverkusen,de Bundesliga,33-134,1989,25,25,2.249,25.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,ad3389d5"
"1175,Petko Hristov,bg BUL,ZG,Spezia,it Serie A,24-037,1999,9,4,365,4.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,2,8,3,000,000,000,000,000,002,000,002,002,002,Partidas,d8800a46"
"1176,Ajdin Hrustic,au AUS,LT,Hellas Verona,it Serie A,26-276,1996,6,3,226,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.6,09,7,8,12,000,000,000,000,000,013,024,037,013,037,Partidas,1f2d714c"
"1177,Timo Hübers,de GER,ZG,Köln,de Bundesliga,26-261,1996,21,20,1.839,20.4,1,0,1,1,0,0,5,0,0.7,0.7,0.1,08,7,57,0,005,000,005,005,005,003,001,004,003,004,Partidas,94302c52"
"1178,Callum Hudson-Odoi,eng ENG,ATLT,Leverkusen,de Bundesliga,22-151,2000,14,7,605,6.7,0,1,1,0,0,0,0,0,0.2,0.2,0.8,09,30,31,44,000,015,015,000,015,003,011,014,003,014,Partidas,15f3ec41"
"1179,Will Hughes,eng ENG,LT,Crystal Palace,eng Premier League,27-355,1995,19,3,428,4.8,0,0,0,0,0,0,4,0,0.1,0.1,0.1,03,6,18,10,000,000,000,000,000,003,003,006,003,006,Partidas,a0666d3e"
"1180,Mats Hummels,de GER,ZG,Dortmund,de Bundesliga,34-112,1988,22,16,1.404,15.6,0,0,0,0,0,0,4,0,1.4,1.4,0.8,22,12,73,5,000,000,000,000,000,009,005,014,009,014,Partidas,05d548d8"
"1181,Adrien Hunou,fr FRA,ATLT,Angers,fr Ligue 1,29-078,1994,25,23,1.766,19.6,3,1,4,3,0,0,1,0,5.5,5.5,2.2,77,28,47,117,015,005,020,015,020,028,011,039,028,039,Partidas,d14229f3"
"1182,Denis Huseinbasic,de GER,LTAT,Köln,de Bundesliga,21-278,2001,17,7,696,7.7,3,1,4,3,0,0,3,0,2.1,2.1,0.3,24,9,30,43,039,013,052,039,052,027,004,031,027,031,Partidas,b116c6e3"
"1183,Omari Hutchinson,eng ENG,AT,Chelsea,eng Premier League,19-159,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,bd9553e6"
"1184,Elseid Hysaj,al ALB,ZG,Lazio,it Serie A,29-046,1994,24,13,1.259,14.0,0,1,1,0,0,0,3,0,0.1,0.1,0.8,09,25,58,37,000,007,007,000,007,001,006,007,001,007,Partidas,2f3452eb"
"1185,Pierre Højbjerg,dk DEN,LT,Tottenham,eng Premier League,27-245,1995,28,28,2.501,27.8,4,3,7,4,0,0,3,0,1.6,1.6,2.4,39,36,200,60,014,011,025,014,025,006,009,014,006,014,Partidas,8b04d6c1"
"1186,Rasmus Højlund,dk DEN,AT,Atalanta,it Serie A,20-062,2003,24,14,1.312,14.6,7,2,9,7,0,0,1,0,6.8,6.8,2.2,90,27,33,160,048,014,062,048,062,047,015,062,047,062,Partidas,491a433d"
"1187,Iago,br BRA,ZGLT,Augsburg,de Bundesliga,26-015,1997,19,16,1.413,15.7,0,1,1,0,0,0,4,1,0.4,0.4,0.9,13,22,47,42,000,006,006,000,006,003,006,008,003,008,Partidas,054849d2"
"1188,Pablo Ibáñez,es ESP,LT,Osasuna,es La Liga,24-199,1998,14,6,519,5.8,0,1,1,0,0,0,0,0,0.6,0.6,0.7,13,7,34,19,000,017,017,000,017,011,012,023,011,023,Partidas,3701906c"
"1189,Roger Ibanez,br BRA,ZG,Roma,it Serie A,24-135,1998,26,26,2.281,25.3,3,0,3,3,0,0,10,1,2.1,2.1,0.6,27,23,59,9,012,000,012,012,012,008,002,011,008,011,Partidas,82efe6fa"
"1190,Arijon Ibrahimović,de GER,LT,Bayern Munich,de Bundesliga,17-117,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,06,0,0,2,000,000,000,000,000,331,037,368,331,368,Partidas,f5c4fd91"
"1191,Zlatan Ibrahimović,se SWE,AT,Milan,it Serie A,41-186,1981,4,1,146,1.6,1,0,1,0,1,1,0,0,1.2,0.4,0.2,06,0,4,10,062,000,062,000,000,072,011,084,024,035,Partidas,4cde5509"
"1192,Mounaim El Idrissy,fr FRA,AT,Ajaccio,fr Ligue 1,24-056,1999,26,24,2.019,22.4,6,0,6,6,0,0,8,0,6.7,6.7,0.9,75,19,35,149,027,000,027,027,027,030,004,034,030,034,Partidas,fb0ee44e"
"1193,Iglesias,es ESP,ZG,Getafe,es La Liga,24-278,1998,23,16,1.593,17.7,1,0,1,1,0,0,3,0,0.5,0.5,0.7,12,30,42,82,006,000,006,006,006,003,004,007,003,007,Partidas,974322dc"
"1194,Borja Iglesias,es ESP,AT,Betis,es La Liga,30-080,1993,25,23,1.846,20.5,12,3,15,7,5,6,1,1,12.1,7.4,2.4,98,20,22,117,059,015,073,034,049,059,012,071,036,048,Partidas,75645f0e"
"1195,Igor,br BRA,ZG,Fiorentina,it Serie A,25-059,1998,21,17,1.542,17.1,0,0,0,0,0,0,9,1,0.5,0.5,0.2,07,15,61,2,000,000,000,000,000,003,001,004,003,004,Partidas,a4e85758"
"1196,Kelechi Iheanacho,ng NGA,ATLT,Leicester City,eng Premier League,26-186,1996,22,7,763,8.5,3,4,7,3,0,0,0,0,4.4,4.4,3.0,73,23,18,73,035,047,083,035,083,052,035,087,052,087,Partidas,c92e1a31"
"1197,Jonathan Ikone,fr FRA,AT,Fiorentina,it Serie A,24-340,1998,26,18,1.588,17.6,2,4,6,2,0,0,4,0,2.4,2.4,2.7,51,66,56,137,011,023,034,011,034,014,015,029,014,029,Partidas,42eaa028"
"1198,Ivan Ilić,rs SRB,LT,Hellas Verona,it Serie A,22-021,2001,11,10,851,9.5,0,1,1,0,0,0,1,0,0.4,0.4,1.0,14,18,39,20,000,011,011,000,011,004,010,014,004,014,Partidas,bb376bed"
"1199,Ivan Ilić,rs SRB,LT,Torino,it Serie A,22-021,2001,5,4,396,4.4,0,1,1,0,0,0,1,0,0.0,0.0,0.1,02,5,18,10,000,023,023,000,023,001,003,004,001,004,Partidas,bb376bed"
"1200,Rareş Ilie,ro ROU,LTAT,Nice,fr Ligue 1,19-353,2003,4,2,148,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,05,7,1,6,000,000,000,000,000,018,014,032,018,032,Partidas,c9f49454"
"1201,Samuel Iling-Junior,eng ENG,ZGAT,Juventus,it Serie A,19-185,2003,7,0,115,1.3,0,1,1,0,0,0,1,0,0.0,0.0,0.0,01,6,4,9,000,078,078,000,078,001,004,005,001,005,Partidas,ba492306"
"1202,Emirhan İlkhan,tr TUR,LT,Torino,it Serie A,18-310,2004,4,1,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,2,8,3,000,000,000,000,000,005,010,014,005,014,Partidas,a47c6309"
"1203,Emirhan İlkhan,tr TUR,LT,Sampdoria,it Serie A,18-310,2004,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,1,3,000,000,000,000,000,000,000,000,000,000,Partidas,a47c6309"
"1204,Asier Illarramendi,es ESP,LT,Real Sociedad,es La Liga,33-030,1990,17,9,752,8.4,1,0,1,1,0,0,3,0,0.8,0.8,0.2,10,10,39,17,012,000,012,012,012,009,002,011,009,011,Partidas,5ce0b5ba"
"1205,Ciro Immobile,it ITA,AT,Lazio,it Serie A,33-046,1990,21,18,1.478,16.4,9,3,12,7,2,3,3,0,9.7,7.4,1.2,87,29,33,121,055,018,073,043,061,059,008,067,045,053,Partidas,4431aed2"
"1206,Danny Ings,eng ENG,AT,West Ham,eng Premier League,30-258,1992,9,4,422,4.7,2,0,2,2,0,0,0,0,2.1,2.1,0.2,23,5,5,21,043,000,043,043,043,044,004,049,044,049,Partidas,07802f7f"
"1207,Danny Ings,eng ENG,AT,Aston Villa,eng Premier League,30-258,1992,18,8,824,9.2,6,0,6,4,2,2,3,0,5.3,3.8,1.2,50,15,12,46,066,000,066,044,044,059,013,071,041,054,Partidas,07802f7f"
"1208,Marcus Ingvartsen,dk DEN,ATLT,Mainz 05,de Bundesliga,27-093,1996,20,13,1.015,11.3,9,0,9,5,4,4,2,0,7.3,4.2,0.2,44,11,20,68,080,000,080,044,044,065,002,067,037,039,Partidas,271b8617"
"1209,Bonke Innocent,ng NGA,LT,Lorient,fr Ligue 1,27-077,1996,19,10,914,10.2,0,1,1,0,0,0,4,0,0.1,0.1,0.3,04,3,23,0,000,010,010,000,010,001,003,003,001,003,Partidas,546bb36e"
"1210,Alexander Isak,se SWE,AT,Newcastle Utd,eng Premier League,23-198,1999,12,8,729,8.1,7,0,7,5,2,2,1,0,6.0,4.5,0.9,54,16,17,57,086,000,086,062,062,074,011,085,055,066,Partidas,8e92be30"
"1211,Alexander Isak,se SWE,AT,Real Sociedad,es La Liga,23-198,1999,2,2,152,1.7,1,0,1,1,0,0,0,0,0.2,0.2,0.1,03,3,3,11,059,000,059,059,059,012,006,018,012,018,Partidas,8e92be30"
"1212,Isco,es ESP,LTAT,Sevilla,es La Liga,30-351,1992,12,10,799,8.9,0,2,2,0,0,0,5,0,0.4,0.4,1.7,21,16,37,36,000,023,023,000,023,005,019,024,005,024,Partidas,a0b4bb3e"
"1213,Ismaily,br BRA,ZG,Lille,fr Ligue 1,33-086,1990,18,17,1.449,16.1,2,1,3,2,0,0,0,0,1.1,1.1,2.3,34,31,81,94,012,006,019,012,019,007,014,021,007,021,Partidas,cf182add"
"1214,Ardian Ismajli,al ALB,ZG,Empoli,it Serie A,26-189,1996,21,19,1.765,19.6,0,0,0,0,0,0,3,0,0.7,0.7,0.3,10,8,35,0,000,000,000,000,000,004,001,005,004,005,Partidas,6b635f5c"
"1215,Ko Itakura,jp JPN,ZG,M'Gladbach,de Bundesliga,26-070,1997,17,16,1.405,15.6,0,2,2,0,0,0,0,1,0.5,0.5,0.2,07,16,37,1,000,013,013,000,013,003,001,004,003,004,Partidas,97d545ae"
"1216,Hiroki Ito,jp JPN,ZG,Stuttgart,de Bundesliga,23-330,1999,24,23,2.021,22.5,0,1,1,0,0,0,4,0,0.6,0.6,2.0,26,22,124,20,000,004,004,000,004,003,009,012,003,012,Partidas,204dded0"
"1217,Junya Ito,jp JPN,AT,Reims,fr Ligue 1,30-029,1993,26,25,2.121,23.6,5,5,10,5,0,0,3,1,5.0,5.0,6.2,112,96,103,221,021,021,042,021,042,021,026,048,021,048,Partidas,dbd3a428"
"1218,Andreas Ivan,ro ROU,LT,Schalke 04,de Bundesliga,28-087,1995,1,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,2,1,000,000,000,000,000,008,000,008,008,008,Partidas,8bf58a80"
"1219,Daniel Iversen,dk DEN,G,Leicester City,eng Premier League,25-262,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,10d221cd"
"1220,Alex Iwobi,ng NGA,LTAT,Everton,eng Premier League,26-339,1996,29,29,2.568,28.5,1,6,7,1,0,0,2,0,1.9,1.9,4.0,59,56,143,105,004,021,025,004,025,007,014,021,007,021,Partidas,6ca5ec4b"
"1221,Armando Izzo,it ITA,ZG,Monza,it Serie A,31-036,1992,20,19,1.620,18.0,1,0,1,1,0,0,5,0,1.4,1.4,0.7,21,17,68,21,006,000,006,006,006,008,004,012,008,012,Partidas,89976232"
"1222,Nicolas Jackson,sn SEN,AT,Villarreal,es La Liga,21-291,2001,16,8,821,9.1,3,2,5,3,0,0,3,1,2.6,2.6,1.5,41,23,26,57,033,022,055,033,055,028,016,045,028,045,Partidas,9c36ed83"
"1223,Lee Jae-sung,kr KOR,LT,Mainz 05,de Bundesliga,30-240,1992,26,19,1.479,16.4,7,3,10,7,0,0,2,0,3.2,3.2,1.9,51,25,53,82,043,018,061,043,061,019,012,031,019,031,Partidas,34b0387f"
"1224,Paul Jaeckel,de GER,ZG,Union Berlin,de Bundesliga,24-259,1998,12,9,890,9.9,1,0,1,1,0,0,1,0,0.1,0.1,0.0,01,5,24,4,010,000,010,010,010,001,000,001,001,001,Partidas,a93b6f4e"
"1225,Mato Jajalo,ba BIH,LT,Udinese,it Serie A,34-317,1988,3,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,01,0,4,1,000,000,000,000,000,007,007,014,007,014,Partidas,8c65eb5f"
"1226,Kristijan Jakić,hr CRO,ZGLT,Eint Frankfurt,de Bundesliga,25-328,1997,22,15,1.354,15.0,1,0,1,1,0,0,3,0,0.7,0.7,0.7,14,16,56,19,007,000,007,007,007,005,005,009,005,009,Partidas,a8ee54ad"
"1227,Jan Jakob Olschowsky,de GER,G,M'Gladbach,de Bundesliga,21-140,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,fa4cabd1"
"1228,Ismail Jakobs,sn SEN,ZGLT,Monaco,fr Ligue 1,23-233,1999,24,5,684,7.6,0,2,2,0,0,0,2,0,0.7,0.7,1.2,19,29,33,73,000,026,026,000,026,010,016,026,010,026,Partidas,a0415710"
"1229,Marin Jakoliš,hr CRO,AT,Angers,fr Ligue 1,26-102,1996,1,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,2,3,2,000,000,000,000,000,039,000,039,039,039,Partidas,96f4ebc0"
"1230,Daniel James,wls WAL,AT,Leeds United,eng Premier League,25-148,1997,4,2,198,2.2,0,0,0,0,0,0,0,0,0.3,0.3,0.3,06,6,3,9,000,000,000,000,000,012,015,027,012,027,Partidas,c931d9f9"
"1231,Daniel James,wls WAL,AT,Fulham,eng Premier League,25-148,1997,14,3,398,4.4,1,0,1,1,0,0,0,0,1.4,1.4,0.3,17,15,13,29,023,000,023,023,023,032,007,039,032,039,Partidas,c931d9f9"
"1232,Reece James,eng ENG,ZGLT,Chelsea,eng Premier League,23-120,1999,14,13,1.120,12.4,1,1,2,1,0,0,4,0,1.0,1.0,2.4,34,47,82,99,008,008,016,008,016,008,019,027,008,027,Partidas,1265a93a"
"1233,Vitaly Janelt,de GER,LTZG,Brentford,eng Premier League,24-332,1998,26,17,1.583,17.6,3,1,4,3,0,0,1,0,2.2,2.2,1.1,32,11,60,22,017,006,023,017,023,012,006,018,012,018,Partidas,8449d35e"
"1234,Saidy Janko,gm GAM,ZG,Bochum,de Bundesliga,27-167,1995,15,9,806,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,02,19,25,25,000,000,000,000,000,001,001,002,001,002,Partidas,689c9cf4"
"1235,Pontus Jansson,se SWE,ZG,Brentford,eng Premier League,32-053,1991,11,8,709,7.9,1,0,1,1,0,0,0,0,0.1,0.1,0.0,01,1,14,0,013,000,013,013,013,001,000,001,001,001,Partidas,172e52d8"
"1236,Tony Jantschke,de GER,ZGLT,M'Gladbach,de Bundesliga,33-000,1990,6,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,34b54da7"
"1237,Adnan Januzaj,be BEL,AT,Sevilla,es La Liga,28-061,1995,2,1,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,6,000,000,000,000,000,000,000,000,000,000,Partidas,4737cebe"
"1238,Javi,es ESP,ZG,Girona,es La Liga,24-340,1998,15,8,707,7.9,1,2,3,1,0,0,2,0,0.6,0.6,0.8,14,24,53,17,013,025,038,013,038,008,010,018,008,018,Partidas,9a76c2e9"
"1239,Luis Javier Suárez,co COL,AT,Almería,es La Liga,25-126,1997,12,10,826,9.2,2,2,4,2,0,0,3,0,3.0,3.0,0.9,39,20,15,48,022,022,044,022,044,033,010,042,033,042,Partidas,eeba07f8"
"1240,Luis Javier Suárez,co COL,AT,Marseille,fr Ligue 1,25-126,1997,7,2,293,3.3,3,1,4,3,0,0,1,0,2.4,2.4,0.4,28,5,11,17,092,031,123,092,123,074,011,085,074,085,Partidas,eeba07f8"
"1241,Dany Jean,ht HAI,ZGLT,Strasbourg,fr Ligue 1,20-130,2002,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,2,2,000,000,000,000,000,000,032,032,000,032,Partidas,300ec91c"
"1242,Julian Jeanvier,gn GUI,ZG,Auxerre,fr Ligue 1,31-007,1992,16,15,1.308,14.5,1,0,1,1,0,0,4,1,1.2,1.2,0.0,12,4,22,5,007,000,007,007,007,008,000,008,008,008,Partidas,5cb215fc"
"1243,Jefferson,br BRA,AT,Lyon,fr Ligue 1,23-098,1999,2,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,3,9,000,000,000,000,000,000,000,000,000,000,Partidas,45cce300"
"1244,Fredrik Jensen,fi FIN,ATLT,Augsburg,de Bundesliga,25-210,1997,18,7,792,8.8,2,1,3,2,0,0,1,0,1.6,1.6,1.4,30,2,23,45,023,011,034,023,034,018,016,034,018,034,Partidas,3eeb80e0"
"1245,Mathias Jensen,dk DEN,LT,Brentford,eng Premier League,27-096,1996,29,29,2.212,24.6,5,5,10,5,0,0,3,0,2.0,2.0,2.9,48,21,106,60,020,020,041,020,041,008,012,020,008,020,Partidas,0f134faf"
"1246,Moritz Jenz,de GER,ZG,Schalke 04,de Bundesliga,23-342,1999,8,8,720,8.0,0,0,0,0,0,0,3,0,0.9,0.9,0.0,10,6,15,1,000,000,000,000,000,012,000,012,012,012,Partidas,ee644761"
"1247,Jesé,es ESP,AT,Sampdoria,it Serie A,30-040,1993,6,1,118,1.3,0,1,1,0,0,0,0,0,0.0,0.0,0.5,05,1,1,8,000,076,076,000,076,004,035,038,004,038,Partidas,4a537185"
"1248,Gabriel Jesus,br BRA,AT,Arsenal,eng Premier League,26-004,1997,17,15,1.318,14.6,7,5,12,6,1,1,4,0,10.0,9.2,2.9,121,31,40,129,048,034,082,041,075,068,020,088,063,083,Partidas,b66315ae"
"1249,Juan Jesus,br BRA,ZG,Napoli,it Serie A,31-301,1991,9,7,624,6.9,1,0,1,1,0,0,2,0,0.2,0.2,0.0,02,4,31,1,014,000,014,014,014,003,001,003,003,003,Partidas,79083382"
"1250,Raúl Jiménez,mx MEX,AT,Wolves,eng Premier League,31-337,1991,13,7,743,8.3,0,1,1,0,0,0,0,0,2.6,2.6,1.7,43,5,13,44,000,012,012,000,012,031,021,052,031,052,Partidas,b561db50"
"1251,Joaquín,es ESP,ATLT,Betis,es La Liga,41-260,1981,13,1,308,3.4,0,1,1,0,0,0,2,0,0.5,0.5,1.4,19,16,20,26,000,029,029,000,029,014,040,055,014,055,Partidas,4c5b14d2"
"1252,Joelinton,br BRA,LTAT,Newcastle Utd,eng Premier League,26-236,1996,24,22,1.963,21.8,4,1,5,4,0,0,11,0,5.1,5.1,1.9,69,46,93,115,018,005,023,018,023,023,009,032,023,032,Partidas,c17bfb65"
"1253,Þórir Jóhann Helgason,is ISL,LT,Lecce,it Serie A,22-191,2000,10,2,193,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.3,04,2,2,3,000,000,000,000,000,002,016,019,002,019,Partidas,dc765618"
"1254,Ben Johnson,eng ENG,ZG,West Ham,eng Premier League,23-073,2000,13,8,744,8.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,03,12,36,17,000,000,000,000,000,000,003,003,000,003,Partidas,9319781b"
"1255,Brennan Johnson,wls WAL,ATLT,Nott'ham Forest,eng Premier League,21-319,2001,29,27,2.397,26.6,8,2,10,7,1,2,6,0,7.3,5.7,2.9,86,78,29,137,030,008,038,026,034,027,011,038,022,032,Partidas,0cd31129"
"1256,Paul Joly,fr FRA,ZG,Auxerre,fr Ligue 1,22-304,2000,10,10,867,9.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,05,19,41,48,000,000,000,000,000,001,003,005,001,005,Partidas,5b4bc323"
"1257,Curtis Jones,eng ENG,LTAT,Liverpool,eng Premier League,22-067,2001,8,2,273,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.2,04,8,23,18,000,000,000,000,000,006,006,012,006,012,Partidas,4fb9c88f"
"1258,Frenkie de Jong,nl NED,LT,Barcelona,es La Liga,25-330,1997,24,20,1.781,19.8,2,1,3,2,0,0,2,0,1.8,1.8,2.3,42,60,165,61,010,005,015,010,015,009,012,021,009,021,Partidas,1bacc518"
"1259,Joan Jordán,es ESP,LT,Sevilla,es La Liga,28-275,1994,21,18,1.496,16.6,0,1,1,0,0,0,6,0,0.9,0.9,0.5,14,9,117,22,000,006,006,000,006,006,003,009,006,009,Partidas,2a0c8ba4"
"1260,Filip Jörgensen,dk DEN,G,Villarreal,es La Liga,20-356,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,0107757e"
"1261,Jorginho,it ITA,LT,Arsenal,eng Premier League,31-108,1991,7,4,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,03,7,53,6,000,000,000,000,000,003,003,006,003,006,Partidas,45db685d"
"1262,Jorginho,it ITA,LT,Chelsea,eng Premier League,31-108,1991,18,15,1.279,14.2,2,0,2,0,2,2,4,0,1.7,0.1,0.4,05,13,80,10,014,000,014,000,000,012,003,014,001,003,Partidas,45db685d"
"1263,Josan,es ESP,LTZG,Elche,es La Liga,33-125,1989,17,3,473,5.3,1,0,1,1,0,0,3,0,0.3,0.3,0.4,07,12,11,34,019,000,019,019,019,006,007,014,006,014,Partidas,5b28b2f6"
"1264,Willian José,br BRA,AT,Betis,es La Liga,31-135,1991,21,2,402,4.5,1,0,1,0,1,1,1,0,2.4,1.6,0.1,18,5,11,18,022,000,022,000,000,054,003,056,037,040,Partidas,d87e2cae"
"1265,Joselu,es ESP,AT,Espanyol,es La Liga,33-011,1990,24,23,2.090,23.2,12,2,14,9,3,3,2,0,8.9,6.5,2.2,87,17,49,96,052,009,060,039,047,038,009,048,028,037,Partidas,6265208f"
"1266,Mateo Joseph,eng ENG,ATLT,Leeds United,eng Premier League,19-170,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,0,0,2,000,000,000,000,000,040,000,040,040,040,Partidas,6ad43f9a"
"1267,Diogo Jota,pt POR,ATLT,Liverpool,eng Premier League,26-124,1996,12,6,610,6.8,0,3,3,0,0,0,1,0,2.1,2.1,1.7,38,21,20,49,000,044,044,000,044,030,025,056,030,056,Partidas,178ae8f8"
"1268,Stevan Jovetić,me MNE,ATLT,Hertha BSC,de Bundesliga,33-156,1989,12,4,515,5.7,2,2,4,2,0,0,0,0,1.5,1.5,0.9,24,8,27,27,035,035,070,035,070,027,015,042,027,042,Partidas,f36c432f"
"1269,Luka Jović,rs SRB,AT,Fiorentina,it Serie A,25-105,1997,24,13,1.163,12.9,4,0,4,4,0,1,2,0,5.3,4.5,0.6,51,4,17,51,031,000,031,031,031,041,005,046,035,040,Partidas,4d8cd038"
"1270,Juanmi,es ESP,AT,Betis,es La Liga,29-322,1993,15,8,737,8.2,4,0,4,4,0,0,3,0,3.2,3.2,0.9,40,10,13,32,049,000,049,049,049,038,011,049,038,049,Partidas,84399660"
"1271,Juanpe,es ESP,ZG,Girona,es La Liga,31-342,1991,12,11,930,10.3,0,0,0,0,0,0,3,0,0.1,0.1,0.1,03,4,28,2,000,000,000,000,000,001,001,003,001,003,Partidas,1633fc8a"
"1272,Jubal,br BRA,ZG,Auxerre,fr Ligue 1,29-221,1993,28,26,2.407,26.7,2,1,3,2,0,0,4,0,1.5,1.5,0.4,19,6,59,0,007,004,011,007,011,006,001,007,006,007,Partidas,56ae428b"
"1273,Christopher Jullien,fr FRA,ZG,Montpellier,fr Ligue 1,30-016,1993,23,23,2.065,22.9,0,1,1,0,0,0,3,0,1.8,1.8,0.7,25,2,38,5,000,004,004,000,004,008,003,011,008,011,Partidas,f323d995"
"1274,Anthony Jung,de GER,ZGAT,Werder Bremen,de Bundesliga,31-155,1991,26,25,2.041,22.7,2,4,6,2,0,0,1,0,1.3,1.3,1.2,25,20,55,87,009,018,026,009,026,006,005,011,006,011,Partidas,de838f86"
"1275,Lago Junior,ci CIV,ATLT,Mallorca,es La Liga,32-097,1990,5,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,0,5,000,000,000,000,000,003,000,003,003,003,Partidas,360d70f8"
"1276,Hamed Junior Traorè,ci CIV,ATLT,Bournemouth,eng Premier League,23-050,2000,7,5,427,4.7,0,0,0,0,0,0,0,0,0.9,0.9,1.1,21,19,26,21,000,000,000,000,000,019,024,043,019,043,Partidas,570bb4b9"
"1277,Hamed Junior Traorè,ci CIV,LTAT,Sassuolo,it Serie A,23-050,2000,11,6,591,6.6,0,3,3,0,0,0,1,0,1.0,1.0,1.8,27,14,26,36,000,046,046,000,046,015,027,041,015,041,Partidas,570bb4b9"
"1278,Vinicius Júnior,br BRA,AT,Real Madrid,es La Liga,22-269,2000,26,26,2.273,25.3,8,6,14,8,0,0,8,0,8.7,8.7,6.9,156,177,63,396,032,024,055,032,055,034,027,062,034,062,Partidas,7111d552"
